name,nodes,spacing,attack,attackers,seed,mode,window,period_ms,duration,dis_threshold,tag,attackers_detected,node_TP,node_FP,node_FN,node_TN,node_TPR,node_FPR,node_precision,node_F1,dec_TP,dec_FP,dec_FN,dec_TN,dec_TPR,dec_FPR,detection_latency_sec,pdr,pdr_normal,delay_mean_s,delay_p95_s,dio_rx_per_node_min,dis_rx_per_node_min,parent_changes_per_node,blocks_temp,blocks_perm,blocked_pairs,temp_block_time_s,attacker_injections
m-30-dis-a20pct-w300-sliding-s1,30,20,dis,20%,1,sliding,300,10000,30,3,,4;6;10;20;26;27,6,0,0,24,1.0,0.0,1.0,1.0,3135,0,220,15189,0.9344262295081968,0.0,45,1.0,1.0,0.049775976662776174,0.09769599999994796,13.68655632730793,4.859080711743655,1.2608695652173914,323,130,176,19380,354
m-30-dis-a20pct-w300-sliding-s2,30,20,dis,20%,2,sliding,300,10000,30,3,,3;4;13;27;29;30,6,0,0,24,1.0,0.0,1.0,1.0,3184,0,232,15128,0.9320843091334895,0.0,45,0.9994165694282381,1.0,0.05026671803852571,0.09666399999999982,14.917137989510543,4.969870765395542,1.2608695652173914,307,121,165,18420,354
m-30-dis-a20pct-w300-sliding-s3,30,20,dis,20%,3,sliding,300,10000,30,3,,6;9;13;19;20;21,6,0,0,24,1.0,0.0,1.0,1.0,3990,0,280,12932,0.9344262295081968,0.0,45,1.0,1.0,0.051330828471413945,0.10269599999992352,15.779441664605832,6.210788239188856,1.3043478260869565,305,129,159,18300,354
m-30-dis-a20pct-w300-sliding-s4,30,20,dis,20%,4,sliding,300,10000,30,3,,5;9;11;14;17;25,6,0,0,24,1.0,0.0,1.0,1.0,3756,0,270,13542,0.9329359165424739,0.0,45,1.0,1.0,0.050439509345794144,0.0966960000000654,15.866116072278235,5.862672753423801,1.3043478260869565,314,122,173,18840,354
m-30-dis-a20pct-w300-sliding-s5,30,20,dis,20%,5,sliding,300,10000,30,3,,10;13;21;24;25;28,6,0,0,24,1.0,0.0,1.0,1.0,3691,0,274,13725,0.9308953341740227,0.0,45,1.0,1.0,0.05068180479251849,0.09751199999999471,16.24764058171054,5.741915744596616,1.2608695652173914,317,128,173,19020,354
m-40-neighbor-a30pct-w300-paper-s1,40,20,neighbor,30%,1,paper,300,5000,30,3,,30,1,0,11,28,0.08333333333333333,0.0,1.0,0.15384615384615385,9,0,342,732,0.02564102564102564,0.0,225,0.9995648389904265,0.9993718592964824,0.06293036482368308,0.12169599999998582,24.95227067661826,0.28277463505601563,1.4444444444444444,16,3,13,960,1428
m-40-neighbor-a30pct-w300-paper-s2,40,20,neighbor,30%,2,paper,300,5000,30,3,,,0,0,12,28,0.0,0.0,nan,0.0,0,0,357,732,0.0,0.0,,1.0,1.0,0.06303038608695413,0.12174440000014829,25.476467911575874,0.30794428902881105,1.4444444444444444,9,0,9,540,1428
m-40-neighbor-a30pct-w300-paper-s3,40,20,neighbor,30%,3,paper,300,5000,30,3,,,0,0,12,28,0.0,0.0,nan,0.0,0,0,297,885,0.0,0.0,,1.0,1.0,0.06304696167247437,0.12569599999983438,22.90779800068651,0.34347632237828934,1.4444444444444444,11,0,11,660,1428
m-40-neighbor-a30pct-w300-paper-s4,40,20,neighbor,30%,4,paper,300,5000,30,3,,35,1,0,11,28,0.08333333333333333,0.0,1.0,0.15384615384615385,6,0,327,801,0.018018018018018018,0.0,225,1.0,1.0,0.06335037140366473,0.12569599999983438,23.90123035669448,0.42934568901396175,1.4444444444444444,10,2,8,600,1428
m-40-neighbor-a30pct-w300-paper-s5,40,20,neighbor,30%,5,paper,300,5000,30,3,,5,1,0,11,28,0.08333333333333333,0.0,1.0,0.15384615384615385,9,0,339,726,0.02586206896551724,0.0,225,1.0,1.0,0.06286324508519169,0.12369600000010905,24.331273081230602,0.3405253017331775,1.4444444444444444,15,3,12,900,1428
