timestamp,profile,state,source,in_zone,f_obs_hz,offset_m,distance_to_track_m,lat,lon
1779697360.8314738,tractorbeam,adaptive,sim,0,15.999,887.319,1.898,44.99998125539331,11.007102980443266
1779697360.8933568,tractorbeam,adaptive,sim,0,15.999,887.319,2.087,44.99997945897195,11.007139979624368
1779697360.9563563,tractorbeam,adaptive,sim,0,15.999,887.319,2.287,44.99997766254084,11.007176878808057
1779697361.0226626,tractorbeam,adaptive,sim,0,15.999,887.319,2.487,44.99997576608863,11.007213577998872
1779697361.0855982,tractorbeam,adaptive,sim,0,15.999,887.319,2.698,44.999973969636066,11.007250277170373
1779697361.205711,tractorbeam,adaptive,sim,0,15.975,887.319,2.898,44.99997027665918,11.00732297551607
1779697361.268165,tractorbeam,adaptive,sim,0,15.952,887.319,3.309,44.99996838013891,11.00735897472502
1779697361.330704,tractorbeam,adaptive,sim,0,15.952,887.319,3.520,44.99996648361093,11.007394873953947
1779697361.393648,tractorbeam,adaptive,sim,0,15.952,921.245,3.731,44.99994995003037,11.006998815485046
1779697361.455345,tractorbeam,adaptive,sim,0,15.943,921.245,5.572,44.99994795359644,11.007034314711884
1779697361.5213144,tractorbeam,adaptive,sim,0,15.943,921.245,5.794,44.99994595715838,11.007069813902621
1779697361.5815089,tractorbeam,adaptive,sim,0,15.943,921.245,6.016,44.99994416069138,11.007105013079226
1779697361.646426,tractorbeam,adaptive,sim,0,15.975,921.245,6.216,44.999942264214624,11.00714011227855
1779697361.7067425,tractorbeam,adaptive,sim,0,15.943,921.245,6.427,44.99994046770722,11.007174911465752
1779697361.7701623,tractorbeam,adaptive,sim,0,15.978,921.245,6.627,44.9999386711897,11.007209610655607
1779697361.8344257,tractorbeam,adaptive,sim,0,15.943,921.245,6.827,44.99993687464394,11.007244009871462
1779697361.8941422,tractorbeam,adaptive,sim,0,15.943,921.245,7.027,44.99993507808605,11.007278309071912
1779697361.9585185,tractorbeam,adaptive,sim,0,15.943,921.245,7.227,44.999933381519725,11.007312508273005
1779697362.018795,tractorbeam,adaptive,sim,0,15.932,921.245,7.416,44.99993188492236,11.007346407441913
1779697362.0826685,tractorbeam,adaptive,sim,0,15.932,921.245,7.583,44.99993028829305,11.007380006620775
1779697362.1450832,tractorbeam,adaptive,sim,0,15.932,921.245,7.760,44.99992899167478,11.007413705754852
1779697362.2087193,tractorbeam,adaptive,sim,0,15.932,921.245,7.905,44.999927695016126,11.007447004899527
1779697362.270802,tractorbeam,adaptive,sim,0,15.914,921.245,8.049,44.9999264983268,11.007480004032075
1779697362.3346848,tractorbeam,adaptive,sim,0,15.932,921.245,8.182,44.999925501636774,11.007513003124501
1779697362.3944986,tractorbeam,adaptive,sim,0,15.932,954.938,8.293,44.999913228757016,11.007116084337763
